plr_id,plr_name,longitude,latitude
07300619,"Grazer Platz",13.351337,52.468488
12200309,"Scharnweberstraße",13.321686,52.567313
06200312,"Komponistenviertel Lankwitz",13.336133,52.440632
09300920,"Dorf Altglienicke",13.536313,52.416907
10100208,"Bürgerpark",13.557758,52.552899
09200510,"Helmholtz-Kiez",13.505641,52.471589
11100308,"Zingster Straße West",13.493898,52.566791
04501045,"Schaperstraße",13.330979,52.497488
01400940,"Schillerpark",13.355050,52.558389
06100207,"Mittelstraße",13.323569,52.450985
03100103,"Karower Chaussee",13.495656,52.627757
08100102,"Schillerpromenade Nord",13.416834,52.478943
01100310,"Alexanderplatzviertel",13.410248,52.520976
02500833,"Boxhagener Platz",13.458717,52.510725
11300723,"Bornitzstraße",13.495588,52.520067
11501339,"Karlshorst West",13.520309,52.488643
03300514,"Blankenburg",13.457020,52.595226
03601453,"Alter Schlachthof",13.461183,52.523225
12500930,"Wittenau Mitte",13.331058,52.582703
12200310,"Klixstraße",13.308744,52.571912
04501147,"Leon-Jessel-Platz",13.319666,52.489744
08200832,"Buckow Mitte",13.427677,52.418847
09100304,"Baumschulenweg West",13.485517,52.464070
12400616,"Konradshöhe/Tegelort",13.226163,52.581610
08100207,"Rollberg",13.433582,52.476546
10100206,"Wuhletalstraße",13.565347,52.558521
04500939,"Eisenzahnstraße",13.304580,52.491979
10200421,"Helle Mitte",13.604602,52.537871
04200204,"Angerburger Allee",13.221815,52.510301
07100205,"Alvenslebenstraße",13.365094,52.496349
07601236,"Marienfelder Allee Nordwest",13.362126,52.419072
03601140,"Malmöer Straße",13.402080,52.552453
03400620,"Schönholz",13.383293,52.576142
08401138,"Goldhähnchenweg",13.460198,52.442826
01100206,"Unter den Linden",13.390616,52.517243
03200310,"Krugpfuhl",13.423172,52.613108
09200614,"Oberspree",13.537047,52.448967
01200629,"Hansaviertel",13.341869,52.518552
01100308,"Charitéviertel",13.377962,52.527876
08200624,"Tempelhofer Weg",13.429135,52.456254
05100314,"Kurstraße",13.206210,52.545945
11200515,"Weiße Taube",13.511275,52.539019
04300412,"Schlossgarten",13.290207,52.524057
06200418,"Landweg",13.315652,52.406038
11401034,"Tierpark",13.529145,52.503214
12500825,"Borsigwalde",13.307533,52.583887
06300633,"Augustaplatz",13.308388,52.441720
01100205,"Wilhelmstraße",13.381887,52.511029
02100105,"Prinzenstraße",13.406152,52.500320
08100521,"Schulenburgpark",13.463067,52.465081
05300838,"Gartenfeld",13.245946,52.550536
09401330,"Wendenschloß",13.589962,52.418374
